time_utc,open,high,low,close,tick_volume,spread
2025-04-22 07:15:00+00:00,1.15377,1.15401,1.15357,1.15381,558,0
2025-04-22 07:30:00+00:00,1.1538,1.15402,1.15275,1.1529099999999999,699,0
2025-04-22 07:45:00+00:00,1.1529099999999999,1.15345,1.15274,1.15303,572,0
2025-04-22 08:00:00+00:00,1.15303,1.15331,1.15184,1.15274,923,0
2025-04-22 08:15:00+00:00,1.15274,1.1547399999999999,1.15272,1.15471,936,0
2025-04-22 08:30:00+00:00,1.15471,1.15471,1.15245,1.15381,1415,0
2025-04-22 08:45:00+00:00,1.1538,1.15473,1.1535199999999999,1.15422,1421,0
2025-04-22 09:00:00+00:00,1.15422,1.15459,1.15323,1.15331,1695,0
2025-04-22 09:15:00+00:00,1.1533,1.15362,1.1524,1.15307,1620,0
2025-04-22 09:30:00+00:00,1.15307,1.15309,1.15066,1.15066,1508,0
2025-04-22 09:45:00+00:00,1.15066,1.15147,1.14962,1.15009,1653,0
2025-04-22 10:00:00+00:00,1.15009,1.15041,1.14921,1.1497600000000001,1961,0
2025-04-22 10:15:00+00:00,1.1497600000000001,1.15084,1.1497,1.15055,1366,0
2025-04-22 10:30:00+00:00,1.15052,1.15091,1.14837,1.1484,1387,0
2025-04-22 10:45:00+00:00,1.1484,1.15061,1.14835,1.15056,1528,0
2025-04-22 11:00:00+00:00,1.15056,1.15095,1.14948,1.1504699999999999,1387,0
2025-04-22 11:15:00+00:00,1.15045,1.15145,1.14967,1.15091,1257,0
2025-04-22 11:30:00+00:00,1.15091,1.15152,1.1496,1.14961,1541,0
2025-04-22 11:45:00+00:00,1.14961,1.15096,1.14947,1.14999,1439,0
2025-04-22 12:00:00+00:00,1.14999,1.15077,1.14968,1.15033,1404,0
2025-04-22 12:15:00+00:00,1.15033,1.15054,1.14957,1.14973,1037,0
2025-04-22 12:30:00+00:00,1.14973,1.1506,1.14967,1.15057,970,0
2025-04-22 12:45:00+00:00,1.15057,1.15057,1.14879,1.14907,1328,0
2025-04-22 13:00:00+00:00,1.14907,1.15003,1.14881,1.14989,1172,0
2025-04-22 13:15:00+00:00,1.14989,1.14995,1.14924,1.14971,1130,0
2025-04-22 13:30:00+00:00,1.14971,1.15005,1.1491500000000001,1.14972,1145,0
2025-04-22 13:45:00+00:00,1.14972,1.14973,1.14886,1.1488800000000001,990,0
2025-04-22 14:00:00+00:00,1.14886,1.1494,1.14843,1.14909,900,0
2025-04-22 14:15:00+00:00,1.14909,1.1492499999999999,1.1484,1.14866,802,0
2025-04-22 14:30:00+00:00,1.14866,1.14935,1.14861,1.14922,766,0
2025-04-22 14:45:00+00:00,1.14922,1.15006,1.14851,1.14862,1098,0
2025-04-22 15:00:00+00:00,1.14858,1.14905,1.14743,1.14806,1614,0
2025-04-22 15:15:00+00:00,1.14806,1.14808,1.14617,1.14698,1574,0
2025-04-22 15:30:00+00:00,1.14697,1.14761,1.14692,1.147,1262,0
